키워드,PC 검색량,모바일 검색량,총조회수,문서수,,ifPC,if모바일,if총조회수,,,PC 검색량 비율,모바일 검색량 비율,총조회수 비율
퍼스널컬러,"8,280","30,800","39,080","123,265",,,,,,,0.067172352,0.24986817,0.317040522
,,,,,,,,,,,,,
,,,,,,,,,,,,,
퍼스널컬러 어울리는,10,10,20,"36,506",,2452.2 ,9121.7 ,11573.9 ,,,,,
퍼스널컬러 조화롭게,10,10,20,"7,029",,472.2 ,1756.3 ,2228.5 ,,,,,
퍼스널컬러 조화로운,10,10,20,"7,029",,472.2 ,1756.3 ,2228.5 ,,,,,
퍼스널컬러 조화로워보이는,10,10,20,"2,104",,141.3 ,525.7 ,667.1 ,,,,,
퍼스널컬러 어울리게,10,10,20,"1,159",,77.9 ,289.6 ,367.4 ,,,,,
퍼스널컬러 어울려보이는,10,10,20,"1,129",,75.8 ,282.1 ,357.9 ,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
퍼스널컬러 밝은,10,10,20,"14,933",,1003.1 ,3731.3 ,4734.4 ,,,,,
퍼스널컬러 밝게,10,10,20,"3,529",,237.1 ,881.8 ,1118.8 ,,,,,
퍼스널컬러 환하게,10,10,20,"1,506",,101.2 ,376.3 ,477.5 ,,,,,
퍼스널컬러 밝아보이는,10,10,20,"1,052",,70.7 ,262.9 ,333.5 ,,,,,
퍼스널컬러 환한,10,10,20,816,,54.8 ,203.9 ,258.7 ,,,,,
퍼스널컬러 환해보이는,10,10,20,666,,44.7 ,166.4 ,211.1 ,,,,,
,,,,,,,,,,,,,
